snp,state,label,value
0,1,N,-0.8458286907734909
1,1,N,4.658854504539576
2,1,N,3.37957025819229
3,1,N,3.9539068039801735
4,1,N,0.2064204605414679
5,1,N,0.36880756163641937
6,1,N,1.5369319148224918
7,1,N,4.103104279222614
8,1,N,1.5918765150159562
9,1,N,1.6083832579324486
10,1,N,6.576739075371494
11,1,N,-0.8491889928116316
12,1,N,3.910117760806219
13,1,N,2.7369569764176487
14,1,N,3.109219621370372
15,1,N,3.856647190973262
16,1,N,3.627572228872068
17,1,N,4.03965714936261
18,1,N,0.10326434622031788
19,1,N,1.1533158477427805
20,1,N,-0.2914947199839659
21,1,N,2.1623118867334874
22,1,N,1.5962473118593534
23,1,N,3.5133930915472282
24,1,N,5.0383063441102856
25,1,N,5.860227411767218
26,1,N,1.1332697880986806
27,1,N,1.3175794664843563
28,1,N,5.12480541871569
29,1,N,0.5607022284139722
30,1,N,5.418634098651565
31,1,N,5.833839736117144
32,1,N,1.6515860526581259
33,1,N,-0.156605074062671
34,1,N,4.950766243530101
35,1,N,3.551819673919377
36,1,N,3.895857899451044
37,1,N,2.193805237081386
38,1,N,0.6500727488199826
39,1,N,3.807862817245824
40,1,N,1.4114513830783086
41,1,N,0.5819552451739802
42,1,N,1.5379499670596672
43,1,N,2.3552688335321443
44,1,N,2.7216912889431635
45,1,N,3.829000395368136
46,1,N,3.042204275854268
47,0,P,6.744735250648523
48,0,P,10.406648146253536
49,0,P,7.513557510316254
50,1,N,1.6186754957905913
51,1,N,1.6662729437970405
52,1,N,1.1064276680912792
53,1,N,3.222070591672776
54,1,N,1.192180457497099
55,1,N,0.9711601818438629
56,1,N,1.666470147000069
57,1,N,4.503152924552363
58,1,N,3.567268339965284
59,1,N,2.9015614280892135
60,1,N,1.810626722291853
61,1,N,0.6518964796303393
62,1,N,2.9761831873251077
63,1,N,1.5508595303790085
64,1,N,0.8024495827095097
65,1,N,1.1262711037750002
66,1,N,2.868450613574604
67,1,N,2.4227103561390977
68,1,N,0.22041945501375282
69,1,N,6.236649167007527
70,1,N,0.8588932794240629
71,1,N,4.76428637966867
72,1,N,0.5868811449851028
73,1,N,2.6801054913321716
74,1,N,4.021913025536501
75,1,N,1.4689233440554874
76,1,N,4.042126379090471
77,1,N,-0.9961047214491221
78,1,N,1.1674118894011678
79,1,N,-0.9837453588365204
80,1,N,4.558649721632296
81,1,N,2.254088547338936
82,1,N,4.112298834706169
83,1,N,-0.5116678609334782
84,1,N,1.8992467181193118
85,1,N,1.2439706213953263
86,1,N,4.149591154698522
87,1,N,-0.1722607961382263
88,1,N,-0.3270272512788779
89,1,N,0.4603444140922901
90,1,N,0.733646558618753
91,1,N,4.321653876215501
92,1,N,2.90800683496219
93,1,N,3.4303523525022643
94,1,N,4.0250949100513385
95,1,N,-0.051139770757654635
96,1,N,3.2736452706902153
97,1,N,0.5241647163891431
98,1,N,-0.4634359712016132
99,1,N,4.431726905215574
100,1,N,1.1527628165456474
101,1,N,0.4782628007421178
102,1,N,3.871000738596877
103,1,N,0.6595519504874534
104,1,N,1.4021370952206784
105,1,N,3.7507297932091843
106,1,N,2.859052322898803
107,1,N,1.4304885158088645
108,1,N,0.33589520708962484
109,1,N,2.0413257115626786
110,0,P,7.373921745071256
111,1,N,3.0339320898068
112,1,N,3.213466314883071
113,1,N,5.423339766186659
114,1,N,1.745099582700803
115,1,N,0.7695170956688109
116,1,N,3.2682193481744632
117,1,N,2.3915506965499405
118,1,N,0.9476898443652277
119,1,N,1.0918503881448491
120,1,N,1.1545648511263646
121,1,N,4.207401120747065
122,1,N,3.909562683627579
123,1,N,4.196242761268124
124,1,N,1.6101269627145476
125,1,N,4.524462050511473
126,0,P,7.298673553874846
127,0,P,7.43242101191659
128,0,P,7.22335014662971
129,0,P,7.04283514956612
130,0,P,7.330164170687943
131,0,P,9.597728123663428
132,1,N,2.370840467626258
133,0,P,8.673545594641514
134,0,P,7.9296849532535925
135,0,P,6.428671782895428
136,0,P,8.583994128242129
137,0,P,7.016545826489443
138,0,P,7.8987246467902335
139,0,P,7.69706221248066
140,1,N,-1.0543732061953865
141,1,N,3.889102675715931
142,1,N,4.317619562324474
143,1,N,1.483538691295431
144,1,N,2.0202931822450547
145,1,N,1.3363284814096041
146,1,N,3.3292707133673396
147,1,N,4.145776364377195
148,1,N,3.406773628413055
149,1,N,3.362369677640558
150,1,N,4.0108535696215455
151,1,N,0.981899242718353
